Percentage,Location,Image 1 (outline),Image 2 (satellite)
27.359,Kempegowda,'1 Kempegowda outline.png','1 Kempegowda.png'
7.115,Doddabommasandra,'10 Doddabommasandra outline.png','10 Doddabommasandra.png'
11.259,Basaveshwara Nagar,'100 Basaveshwara Nagar outline.png','100 Basaveshwara Nagar.png'
11.08,Kamakshipalya,'101 Kamakshipalya outline.png','101 Kamakshipalya.png'
18.34,Vrushabhavathi,'102 Vrushabhavathi outline.png','102 Vrushabhavathi.png'
13.361,Kaveripura,'103 Kaveripura outline.png','103 Kaveripura.png'
6.422,Govindraja Nagar,'104 Govindraja Nagar outline.png','104 Govindraja Nagar.png'
15.891,Agrahara Dasarahalli,'105 Agrahara Dasarahalli outline.png','105 Agrahara Dasarahalli.png'
6.124,Dr.Rajkumar Ward,'106 Dr.Rajkumar Ward outline.png','106 Dr.Rajkumar Ward.png'
27.915,Shiva Nagar,'107 Shiva Nagar outline.png','107 Shiva Nagar.png'
8.31,Sri Rammandira,'108 Sri Rammandira outline.png','108 Sri Rammandira.png'
16.582,Chickpete,'109 Chickpete outline.png','109 Chickpete.png'
29.028,Kuvempu Nagar,'11 Kuvempu Nagar outline.png','11 Kuvempu Nagar.png'
32.321,Sampangiram Nagar,'110 Sampangiram Nagar outline.png','110 Sampangiram Nagar.png'
41.16,Shanthala Nagar,'111 Shanthala Nagar outline.png','111 Shanthala Nagar.png'
36.147,Domlur,'112 Domlur outline.png','112 Domlur.png'
30.828,Konena Agrahara,'113 Konena Agrahara outline.png','113 Konena Agrahara.png'
23.558,Agaram,'114 Agaram outline.png','114 Agaram.png'
25.429,Vannarpet,'115 Vannarpet outline.png','115 Vannarpet.png'
27.151,Neelasandra,'116 Neelasandra outline.png','116 Neelasandra.png'
29.012,Shanthi Nagar,'117 Shanthi Nagar outline.png','117 Shanthi Nagar.png'
17.511,Sudam Nagar,'118 Sudam Nagar outline.png','118 Sudam Nagar.png'
35.404,Dharmarayaswamy Temple Ward,'119 Dharmarayaswamy Temple Ward outline.png','119 Dharmarayaswamy Temple Ward.png'
29.327,Shettyhalli,'12 Shettyhalli outline.png','12 Shettyhalli.png'
27.337,Cottonpet,'120 Cottonpet outline.png','120 Cottonpet.png'
19.573,Binnipet,'121 Binnipet outline.png','121 Binnipet.png'
4.908,Kempapura Agrahara,'122 Kempapura Agrahara outline.png','122 Kempapura Agrahara.png'
4.113,Vijay Nagar,'123 Vijay Nagar outline.png','123 Vijay Nagar.png'
20.496,Hosahalli,'124 Hosahalli outline.png','124 Hosahalli.png'
22.011,Marenahalli,'125 Marenahalli outline.png','125 Marenahalli.png'
14.664,Maruthi Mandira Ward,'126 Maruthi Mandira Ward outline.png','126 Maruthi Mandira Ward.png'
9.12,Moodalapalya,'127 Moodalapalya outline.png','127 Moodalapalya.png'
14.31,Nagarabhavi,'128 Nagarabhavi outline.png','128 Nagarabhavi.png'
29.716,Jnanabharathi Ward,'129 Jnanabharathi Ward outline.png','129 Jnanabharathi Ward.png'
1.426,Mallasandra,'13 Mallasandra outline.png','13 Mallasandra.png'
5.797,Ullalu,'130 Ullalu outline.png','130 Ullalu.png'
17.052,Nayandanahalli,'131 Nayandanahalli outline.png','131 Nayandanahalli.png'
11.668,Attiguppe,'132 Attiguppe outline.png','132 Attiguppe.png'
26.305,Hampi Nagar,'133 Hampi Nagar outline.png','133 Hampi Nagar.png'
6.894,Bapuji Nagar,'134 Bapuji Nagar outline.png','134 Bapuji Nagar.png'
19.782,Padarayanapura,'135 Padarayanapura outline.png','135 Padarayanapura.png'
17.033,Jagareevanram Nagar,'136 Jagareevanram Nagar outline.png','136 Jagareevanram Nagar.png'
13.876,Rayapuram,'137 Rayapuram outline.png','137 Rayapuram.png'
29.137,Chalavadipalya,'138 Chalavadipalya outline.png','138 Chalavadipalya.png'
